UID,Ano_Criacao,Sigla_IF,Nome_IF,Campus_IF,Tipo_Unidade,Regioes,UF,Municipio,Endereco_Padronizado,CEP,Telefone,E-mail,Site,Dirigente,Fonte
cefet_mg_uned_araxa,1992,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Araxá,Uned,Sudeste,MG,Araxá,"Avenida Ministro Olavo Drummond, São Geraldo, Araxá, MG, 38180-510",38180-510,(34) 3669-4500,diretoria@araxa.cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_contagem,2008,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Contagem,Uned,Sudeste,MG,Contagem,"Avenida Doutor Antônio Chagas Diniz, Cidade Industrial, Contagem, MG, 32210-160",32210-160,(31) 3368-4310,dc-cn@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_curvelo,2010,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Curvelo,Uned,Sudeste,MG,Curvelo,"Rua Raymundo Mattoso 900 – Santa Rita, Curvelo, MG, 35790-636",35790-636,(38) 3729-3900,dc-cv@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_divinopolis,1987,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Divinópolis,Uned,Sudeste,MG,Divinópolis,,,(37) 3229-1150,comunicacao@div.cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_leopoldina,1987,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Leopoldina,Uned,Sudeste,MG,Leopoldina,"Rua José Peres 558 – Centro, Leopoldina, MG, 36700-000",36700-000,(32) 3449-2300,dc-lp@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_nepomuceno,2006,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Nepomuceno,Uned,Sudeste,MG,Nepomuceno,"Av. Monsenhor Luiz de Gonzaga, 103, Centro, Nepomuceno, MG, 37250-000",37250-000,(35) 3861-5700,ca-np@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_timoteo,2006,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Timóteo,Uned,Sudeste,MG,Timóteo,"Rua Dezenove de Novembro, Centro Norte, Timóteo, MG, 35180-008",35180-008,(31) 3845-4600,dc-tm@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_varginha,2010,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Varginha,Uned,Sudeste,MG,Varginha,"Avenida dos Imigrantes, nº 1000- Cidade Nova, Vargem, Varginha, MG, 37022-560",37022-560,(35) 3690-4200,diretoria.varginha@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_belo_horizonte_campus_nova_suica,,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Belo Horizonte (Campus Nova Suíça),Campus,Sudeste,MG,Belo Horizonte,"Avenida Amazonas, nº 5.253 - Nova Suíça, Belo Horizonte, MG, 30421-169",30421-169,(31)3319-7130,dc-ns@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_belo_horizonte_campus_nova_gameleira,,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Belo Horizonte (Campus Nova Gameleira),Campus,Sudeste,MG,Nova Gameleira Belo Horizonte,"Av. Amazonas, 7675, Nova Gameleira Belo Horizonte, MG, 30510-000",30510-000,(31) 3319-6722,dc-ng@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_uned_belo_horizonte_campus_gameleira,,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Belo Horizonte (Campus Gameleira),Campus,Sudeste,MG,Gameleira Belo Horizonte,"Av. Amazonas, 5855, Gameleira Belo Horizonte, MG, 30510-000",30510-000,(31) 3379-3000,dc-gm@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_reitoria_do_instituto_federal_de_minas_gerais,,IFMG,Instituto Federal de Minas Gerais,Reitoria do Instituto Federal de Minas Gerais,Reitoria,Sudeste,MG,Belo Horizonte,"Avenida Professor Mário Werneck, 2590 - Buritis, Belo Horizonte, MG, 30575-180",30575-180,(31) 2513-5100,gabinete@ifmg.edu.br,www.ifmg.edu.br,Rafael Bastos Teixeira,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_arcos,2016,IFMG,Instituto Federal de Minas Gerais,Campus Arcos,Campus,Sudeste,MG,Arcos,"Av. Juscelino Kubitschek, 485, Distrito Industrial II, Arcos, MG, 35588-000",35588-000,(37) 3351-5173,gabinete.arcos@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_conselheiro_lafaiete,2015,IFMG,Instituto Federal de Minas Gerais,Campus Conselheiro Lafaiete,Campus,Sudeste,MG,Conselheiro Lafaiete,"Rua Padre Teófilo Reyn, 441, São Dimas, Conselheiro Lafaiete, MG, 36407-122",36407-122,(31) 9239-4347,assuntosinstitucionais.lafaiete@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_ipatinga,2014,IFMG,Instituto Federal de Minas Gerais,Campus Ipatinga,Campus,Sudeste,MG,Ipatinga,"Rua Maria Silva, 125 - Veneza, Ipatinga, MG, 35164-261",35164-261,(31) 3829-8615,gabinete.ipatinga@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_avancado_itabirito,2015,IFMG,Instituto Federal de Minas Gerais,Campus Avançado Itabirito,Campus Avançado,Sudeste,MG,Itabirito,"Rua José Benedito, 139 - Santa Efigênia, Itabirito, MG, 35450-000",35450-000,(31) 3561-1269,gabinete.itabirito@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_piumhi,2014,IFMG,Instituto Federal de Minas Gerais,Campus Piumhi,Campus,Sudeste,MG,Piumhi,"Rua Severo Veloso, 1880 - Bela Vista, Piumhi, MG, 37925-000",37925-000,(37) 3412-0678,assuntosinstitucionais.piumhi@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_ponte_nova,2015,IFMG,Instituto Federal de Minas Gerais,Campus Ponte Nova,Campus,Sudeste,MG,Ponte Nova,"Praça José Emiliano Dias, 87- Centro, Ponte Nova, MG, 35430-034",35430-034,(31) 3881-2630,assuntosinstitucionais.pontenova@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_bambui,1968,IFMG,Instituto Federal de Minas Gerais,Campus Bambuí,Campus,Sudeste,MG,Bambuí,"Fazenda Varginha, Estrada Bambuí/Medeiros, Km 05 Bambuí, MG, 38900-000",38900-000,(37) 3431-4906,gabinete.bambui@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_betim,2013,IFMG,Instituto Federal de Minas Gerais,Campus Betim,Campus,Sudeste,MG,Betim,"Rua Itaguassu, 595, Bairro São Caetano Betim, MG, 32677-562",32677-562,(31) 3532-5930,gabinete.betim@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_congonhas,2006,IFMG,Instituto Federal de Minas Gerais,Campus Congonhas,Campus,Sudeste,MG,Congonhas,"Avenida Michael Pereira De Souza, 3007 - Centro, Congonhas, MG, 36415-000",36415-000,(31) 3731-8100,gabinete.congonhas@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_formiga,2008,IFMG,Instituto Federal de Minas Gerais,Campus Formiga,Campus,Sudeste,MG,Formiga,"Rua São Luiz Gonzaga, s/n. - São Luiz, Formiga, MG, 35577-020",35577-020,(37) 3322-8434,gabinete.formiga@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_governador_valadares,2010,IFMG,Instituto Federal de Minas Gerais,Campus Governador Valadares,Campus,Sudeste,MG,Governador Valadares,"Avenida Minas Gerais, 5189 - Ouro Verde, Governador Valadares, MG, 35063-121",35063-121,(33) 3022-7800,assuntosinstitucionais.valadares@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_ouro_branco,2013,IFMG,Instituto Federal de Minas Gerais,Campus Ouro Branco,Campus,Sudeste,MG,Ouro Branco,"Rua Afonso Sardinha, 90, Bairro Minas Talco, Ouro Branco, MG, 36494-018",36494-018,(31) 3938-1200,gabinete.ourobranco@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_ouro_preto,1942,IFMG,Instituto Federal de Minas Gerais,Campus Ouro Preto,Campus,Sudeste,MG,Ouro Preto,"Rua Pandiá Calógeras, 898, Morro do Cruzeiro Ouro Preto, MG, 35400-000",35400-000,(31) 3559-2186,gabinete.op@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_ribeirao_das_neves,2013,IFMG,Instituto Federal de Minas Gerais,Campus Ribeirão das Neves,Campus,Sudeste,MG,Ribeirão das Neves,"Rua Vera Lúcia de Oliveira Andrade, 800, Vila Esplanada Ribeirão das Neves, MG, 33858-480",33858-480,(31) 3627-2303,gabinete.neves@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_sabara,2013,IFMG,Instituto Federal de Minas Gerais,Campus Sabará,Campus,Sudeste,MG,Sabará,"Rodovia MGT 262, Km 10, Sobradinho Sabará, MG, 34590-390",34590-390,(31) 2102-9393,assuntosinstitucionais.sabara@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_santa_luzia,2013,IFMG,Instituto Federal de Minas Gerais,Campus Santa Luzia,Campus,Sudeste,MG,Santa Luzia,"Rua Érico Veríssimo, 317, Londrina, Santa Luzia, MG, 33115-390",33115-390,(31) 3268-5620,gabinete.santaluzia@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_campus_sao_joao_evangelista,1951,IFMG,Instituto Federal de Minas Gerais,Campus São João Evangelista,Campus,Sudeste,MG,São João Evangelista,"Avenida Primeiro de Junho, 1043, Centro, São João Evangelista, MG, 39705-000",39705-000,(33) 3412-2900,assuntosinstitucionais.sje@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifmg_polo_de_inovacao_formiga,2015,IFMG,Instituto Federal de Minas Gerais,Polo de Inovação Formiga,Polo de Inovação,Sudeste,MG,Formiga,"Rua Padre Alberico, nº 440, São Luís, Formiga, MG, 35570-000",35570-000,(37) 3322-8529,prospeccao.polo@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_reitoria_do_instituto_federal_do_norte_de_minas_gerais,,IFNMG,Instituto Federal do Norte de Minas Gerais,Reitoria do Instituto Federal do Norte de Minas Gerais,Reitoria,Sudeste,MG,Montes Claros,"Rua Professor Monteiro Fonseca, 216, Vila Brasília, Montes Claros, MG, 39400-149",39400-149,(38) 3218-7300,ifnmg@ifnmg.edu.br,https://www.ifnmg.edu.br/,Joaquina Aparecida Nobre da Silva,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_almenara,2010,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Almenara,Campus,Sudeste,MG,Almenara,"Rodovia BR 367, km 07, s/n Almenara, MG, n Almenara, MG, 39900-000",39900-000,(38) 3218-7385,comunicacao.almenara@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_aracuai,2010,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Araçuaí,Campus,Sudeste,MG,Araçuaí,"Fazenda do Meio Pé da Serra, s/n, BR 367, km 278, Araçuaí, MG, 39600-000",39600-000,(38) 3218-7399,comunicacao.aracuai@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_arinos,2010,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Arinos,Campus,Sudeste,MG,Arinos,"Rodovia MG 202, km 407 - Arinos, Buritis Arinos, MG, 38680-000",38680-000,(38) 3218-7391,comunicacao.arinos@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_avancado_janauba,2015,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Avançado Janaúba,Campus Avançado,Sudeste,MG,Janaúba,"Av. Brasil, 334 – Centro, Janaúba, MG, 39440-000",39440-000,(38) 98408-4504 e (38) 3218-7380,janauba@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_avancado_porteirinha,2016,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Avançado Porteirinha,Campus Avançado,Sudeste,MG,Porteirinha,"Rua José Silveira Lopes, 429 - Vila Serranópolis, Porteirinha, MG, 39520-000",39520-000,(38) 8408-8125,porteirinha@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_diamantina,2016,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Diamantina,Campus,Sudeste,MG,Diamantina,"Fazenda Biribiri, s/n (próximo ao Aeroporto) Diamantina – MG - CEP 39.100-000",39100-000,(38) 3218-7370,diamantina@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_januaria,1960,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Januária,Campus,Sudeste,MG,Januária,"Fazenda São Geraldo, s/n, Estrada Januária, km 06, Januária, MG, 39480-000",39480-000,(38) 3629-4600,comunicacao.januaria@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_montes_claros,2010,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Montes Claros,Campus,Sudeste,MG,Montes Claros,,,(38) 2103-4141,comunicacao.montesclaros@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_pirapora,2010,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Pirapora,Campus,Sudeste,MG,Pirapora,"Rua Humberto Mallard, 1355, Bairro Santos Dumont Pirapora, MG, 39270-000",39270-000,(38) 3749-6950,comunicacao.pirapora@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_salinas,1947,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Salinas,Campus,Sudeste,MG,Salinas,,,(38) 3841-7000,comunicacao.salinas@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifnmg_campus_teofilo_otoni,2016,IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Teófilo Otoni,Campus,Sudeste,MG,Teófilo Otoni,"Rua Mocambi, 295, Bairro Viriato, Teófilo Otoni, MG, 39800-430",39800-430,(38) 3218-7364,comunicacao.teofilootoni@ifnmg.edu.br,https://www.ifnmg.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_reitoria_do_instituto_federal_sudeste_de_minas_gerais,,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Reitoria do Instituto Federal Sudeste de Minas Gerais,Reitoria,Sudeste,MG,Juiz de Fora,"Luz Interior, 360, Estrela Sul, Juiz de Fora, MG, 36030-713",36030-713,(32) 3257-4100,gabinete@ifsudestemg.edu.br,www.ifsudestemg.edu.br,Valdir José da Silva,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_bom_sucesso,2014,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Bom Sucesso,Campus,Sudeste,MG,Bom Sucesso,"Praça Rua da Independência, n° 30, Aparecida. Bom Sucesso/MG, ao lado do Posto de Saúde - CEP:37.220-000",37220-000,(35) 99843-3201,gabinete.bomsucesso@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_avancado_cataguases,2015,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Cataguases,Campus Avançado,Sudeste,MG,Cataguases,"Chácara Granjaria, s/n° - Granjaria, Cataguases, MG, 36773-563",36773-563,(32) 99883-1077,dap.cataguases@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_avancado_uba,2015,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Ubá,Campus Avançado,Sudeste,MG,Ubá,"Área Rural de Ubá. Rodovia MGT 265, KM 83, R. Ubá, S/Nº, Horto Florestal Ubá, MG, 36508-899",36508-899,(32) 98426-7466,gabinete.uba@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_barbacena,1910,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Barbacena,Campus,Sudeste,MG,Barbacena,"Rua Monsenhor José Augusto, nº 204 - Bairro São José Barbacena – MG - CEP: 36205-018",36205-018,(32) 98414-1371,gabinete.barbacena@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_juiz_de_fora,1946,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Juiz de Fora,Campus,Sudeste,MG,Juiz de Fora,"Rua Bernardo Mascarenhas, 1283, Fábrica, Juiz de Fora, MG, 36080-001",36080-001,(32) 4009-3001,gabinete.jf@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_manhuacu,2015,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Manhuaçu,Campus,Sudeste,MG,Manhuaçu,"Rodovia BR116 Km 589,8 - Distrito Realeza Manhuaçu/MG - Caixa Postal 413 - CEP: 36.909-300",36909-300,(33) 3333-0108,dg.manhuacu@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_muriae,2010,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Muriaé,Campus,Sudeste,MG,Muriaé,"Avenida Coronel Monteiro de Castro, 550, Bairro Barra Muriaé, MG, 36884-036",36884-036,(32) 3696-2850,dg@muriae@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_rio_pomba,1964,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Rio Pomba,Campus,Sudeste,MG,Rio Pomba,"Av. Dr. José Sebastião da Paixão, s/nº - Lindo Vale, Rio Pomba, MG, 36180-000",36180-000,(32) 3571-5447,dde.riopomba@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_santos_dumont,2013,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Santos Dumont,Campus,Sudeste,MG,Santos Dumont,"Rua Técnico Panamá, 45, Quarto Depósito, Santos Dumont, MG, 36240-000",36240-000,(32) 9 8469 7224,dg.santosdumont@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
if_sudeste_mg_campus_sao_joao_del_rei,2013,IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus São João Del Rei,Campus,Sudeste,MG,São João del-Rei,"Rua Américo Davim Filho, s/nº - Vila São Paulo, São João Del Rei, MG, 36301-358",36301-358,(32) 3379-4508,gabinete.sjdr@ifsudestemg.edu.br,www.ifsudestemg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
iftm_reitoria_do_instituto_federal_do_triangulo_mineiro,,IFTM,Instituto Federal do Triângulo Mineiro,Reitoria do Instituto Federal do Triângulo Mineiro,Reitoria,Sudeste,MG,Uberaba,"Av. Randolfo Borges Júnior, 2900 - Univerdecidade, Uberaba, MG, 38064-300",38064-300,(34) 3326-1100,reitora@iftm.edu.br,www.iftm.edu.br,Marcelo Ponciano d a Silva,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
