UID,Ano_Criacao,Sigla_IF,Nome_IF,Campus_IF,Tipo_Unidade,Regioes,UF,Municipio,Endereco_Padronizado,CEP,Telefone,E-mail,Site,Dirigente,Fonte,Endereco_Geocodificacao_Base,latitude,longitude,geocode_status,geocode_precisao,geocode_confianca,geocode_query,geocode_endereco_retornado,geocode_osm_type,geocode_osm_id,geocode_importance,revisar_manual
cefet_mg_uned_divinopolis,1987,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Divinópolis,Uned,Sudeste,MG,Divinópolis,,,(37) 3229-1150,comunicacao@div.cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Uned Divinópolis, Centro Federal de Educação Tecnológica de Minas Gerais, Divinópolis, MG, Brasil",-20.1597921,-44.8739341,ok,municipio_uf,baixa,"Divinópolis, MG, Brasil","Divinópolis, Minas Gerais, Região Sudeste, Brasil",relation,315091.0,0.5740034486833165,True
cefet_mg_uned_leopoldina,1987,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Leopoldina,Uned,Sudeste,MG,Leopoldina,"Rua José Peres 558 - Centro, Leopoldina, MG, 36700-000",36700-000,(32) 3449-2300,dc-lp@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua José Peres 558 - Centro, Leopoldina, MG, 36700-000, Brasil",-21.5321356,-42.6393645,ok,cep_municipio_uf,media,"36700-000, Leopoldina, MG, Brasil","Banco do Brasil, Rua Ribeiro Junqueira, Leopoldina, Minas Gerais, Região Sudeste, 36700-192, Brasil",way,697401222.0,6.0266269932051844e-05,False
cefet_mg_uned_nepomuceno,2006,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Nepomuceno,Uned,Sudeste,MG,Nepomuceno,"Av. Monsenhor Luiz de Gonzaga, 103, Centro, Nepomuceno, MG, 37250-000",37250-000,(35) 3861-5700,ca-np@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Av. Monsenhor Luiz de Gonzaga, 103, Centro, Nepomuceno, MG, 37250-000, Brasil",-21.2331011,-45.2356366,ok,cep_municipio_uf,media,"37250-000, Nepomuceno, MG, Brasil","37250-000, Nepomuceno, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
cefet_mg_uned_timoteo,2006,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Timóteo,Uned,Sudeste,MG,Timóteo,"Rua Dezenove de Novembro, Centro Norte, Timóteo, MG, 35180-008",35180-008,(31) 3845-4600,dc-tm@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Dezenove de Novembro, Centro Norte, Timóteo, MG, 35180-008, Brasil",-19.5388331,-42.6499001,ok,endereco_padronizado,alta,"Rua Dezenove de Novembro, Centro Norte, Timóteo, MG, 35180-008, Brasil","Rua 19 de Novembro, Bromélias, Centro, Timóteo, Minas Gerais, Região Sudeste, 31180-008, Brasil",way,175269047.0,0.05339499580376894,False
cefet_mg_uned_varginha,2010,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Varginha,Uned,Sudeste,MG,Varginha,"Avenida dos Imigrantes, n 1000- Cidade Nova, Vargem, Varginha, MG, 37022-560",37022-560,(35) 3690-4200,diretoria.varginha@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida dos Imigrantes, n 1000- Cidade Nova, Vargem, Varginha, MG, 37022-560, Brasil",-21.5663094,-45.4415062,ok,cep_municipio_uf,media,"37022-560, Varginha, MG, Brasil","Avenida Vital Brasil, Novo Horizonte, Canaã, Varginha, Minas Gerais, Região Sudeste, 37005-510, Brasil",way,228018181.0,0.05339661783779656,False
cefet_mg_uned_belo_horizonte_campus_nova_suica,,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Belo Horizonte (Campus Nova Suíça),Campus,Sudeste,MG,Belo Horizonte,"Avenida Amazonas, n 5.253 - Nova Suíça, Belo Horizonte, MG, 30421-169",30421-169,(31)3319-7130,dc-ns@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Amazonas, n 5.253 - Nova Suíça, Belo Horizonte, MG, 30421-169, Brasil",-19.9302939,-43.9769263,ok,cep_municipio_uf,media,"30421-169, Belo Horizonte, MG, Brasil","30421-169, Nova Suíça, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
cefet_mg_uned_belo_horizonte_campus_nova_gameleira,,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Belo Horizonte (Campus Nova Gameleira),Campus,Sudeste,MG,Nova Gameleira Belo Horizonte,"Av. Amazonas, 7675, Nova Gameleira Belo Horizonte, MG, 30510-000",30510-000,(31) 3319-6722,dc-ng@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Av. Amazonas, 7675, Nova Gameleira Belo Horizonte, MG, 30510-000, Brasil",-19.9391867,-43.9992587,ok,endereco_padronizado,alta,"Av. Amazonas, 7675, Nova Gameleira Belo Horizonte, MG, 30510-000, Brasil","CEFET-MG - Campus Nova Gameleira, 7675, Avenida Amazonas, Nova Gameleira, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30510-000, Brasil",way,29029877.0,7.253452353699576e-05,False
cefet_mg_uned_belo_horizonte_campus_gameleira,,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Belo Horizonte (Campus Gameleira),Campus,Sudeste,MG,Gameleira Belo Horizonte,"Av. Amazonas, 5855, Gameleira Belo Horizonte, MG, 30510-000",30510-000,(31) 3379-3000,dc-gm@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Av. Amazonas, 5855, Gameleira Belo Horizonte, MG, 30510-000, Brasil",-19.9333121,-43.9859057,ok,endereco_padronizado,alta,"Av. Amazonas, 5855, Gameleira Belo Horizonte, MG, 30510-000, Brasil","CEFET-MG - Campus VI, 5855, Avenida Amazonas, Gameleira, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30510-000, Brasil",way,224936362.0,7.253452353699576e-05,False
ifmg_reitoria_do_instituto_federal_de_minas_gerais,,IFMG,Instituto Federal de Minas Gerais,Reitoria do Instituto Federal de Minas Gerais,Reitoria,Sudeste,MG,Belo Horizonte,"Avenida Professor Mário Werneck, 2590 - Buritis, Belo Horizonte, MG, 30575-180",30575-180,(31) 2513-5100,gabinete@ifmg.edu.br,www.ifmg.edu.br,Rafael Bastos Teixeira,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Professor Mário Werneck, 2590 - Buritis, Belo Horizonte, MG, 30575-180, Brasil",-19.9735625,-43.9680219,ok,endereco_padronizado,alta,"Avenida Professor Mário Werneck, 2590 - Buritis, Belo Horizonte, MG, 30575-180, Brasil","Avenida Professor Mário Werneck, Buritis, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30575-180, Brasil",way,279804205.0,0.05340586785687034,False
ifmg_campus_arcos,2016,IFMG,Instituto Federal de Minas Gerais,Campus Arcos,Campus,Sudeste,MG,Arcos,"Av. Juscelino Kubitschek, 485, Distrito Industrial II, Arcos, MG, 35588-000",35588-000,(37) 3351-5173,gabinete.arcos@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Av. Juscelino Kubitschek, 485, Distrito Industrial II, Arcos, MG, 35588-000, Brasil",-20.2811583,-45.5415722,ok,cep_municipio_uf,media,"35588-000, Arcos, MG, Brasil","35588-000, Arcos, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifmg_campus_conselheiro_lafaiete,2015,IFMG,Instituto Federal de Minas Gerais,Campus Conselheiro Lafaiete,Campus,Sudeste,MG,Conselheiro Lafaiete,"Rua Padre Teófilo Reyn, 441, São Dimas, Conselheiro Lafaiete, MG, 36407-122",36407-122,(31) 9239-4347,assuntosinstitucionais.lafaiete@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Padre Teófilo Reyn, 441, São Dimas, Conselheiro Lafaiete, MG, 36407-122, Brasil",-20.6670505,-43.8091026,ok,endereco_padronizado,alta,"Rua Padre Teófilo Reyn, 441, São Dimas, Conselheiro Lafaiete, MG, 36407-122, Brasil","Rua Padre Teófilo Reyn, São Dimas, Conselheiro Lafaiete, Minas Gerais, Região Sudeste, 36400-000, Brasil",way,199128785.0,0.05339615243762871,False
ifmg_campus_ipatinga,2014,IFMG,Instituto Federal de Minas Gerais,Campus Ipatinga,Campus,Sudeste,MG,Ipatinga,"Rua Maria Silva, 125 - Veneza, Ipatinga, MG, 35164-261",35164-261,(31) 3829-8615,gabinete.ipatinga@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Maria Silva, 125 - Veneza, Ipatinga, MG, 35164-261, Brasil",-19.4706361,-42.5273152,ok,endereco_padronizado,alta,"Rua Maria Silva, 125 - Veneza, Ipatinga, MG, 35164-261, Brasil","Rua Maria Silva, Veneza, Ipatinga, Minas Gerais, Região Sudeste, 35164-300, Brasil",way,175096346.0,0.053397074082551274,False
ifmg_campus_avancado_itabirito,2015,IFMG,Instituto Federal de Minas Gerais,Campus Avançado Itabirito,Campus Avançado,Sudeste,MG,Itabirito,"Rua José Benedito, 139 - Santa Efigênia, Itabirito, MG, 35450-000",35450-000,(31) 3561-1269,gabinete.itabirito@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua José Benedito, 139 - Santa Efigênia, Itabirito, MG, 35450-000, Brasil",-20.2542287,-43.7929292,ok,endereco_padronizado,alta,"Rua José Benedito, 139 - Santa Efigênia, Itabirito, MG, 35450-000, Brasil","Rua José Benedito, Santa Efigênia, Itabirito, Minas Gerais, Região Sudeste, 35450-090, Brasil",way,380825538.0,0.05339113679713127,False
ifmg_campus_piumhi,2014,IFMG,Instituto Federal de Minas Gerais,Campus Piumhi,Campus,Sudeste,MG,Piumhi,"Rua Severo Veloso, 1880 - Bela Vista, Piumhi, MG, 37925-000",37925-000,(37) 3412-0678,assuntosinstitucionais.piumhi@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Severo Veloso, 1880 - Bela Vista, Piumhi, MG, 37925-000, Brasil",-20.4742903,-45.9683809,ok,cep_municipio_uf,media,"37925-000, Piumhi, MG, Brasil","37925-000, Piumhi, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifmg_campus_ponte_nova,2015,IFMG,Instituto Federal de Minas Gerais,Campus Ponte Nova,Campus,Sudeste,MG,Ponte Nova,"Praça José Emiliano Dias, 87- Centro, Ponte Nova, MG, 35430-034",35430-034,(31) 3881-2630,assuntosinstitucionais.pontenova@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Praça José Emiliano Dias, 87- Centro, Ponte Nova, MG, 35430-034, Brasil",-19.3405674,-47.6483533,ok,cep_municipio_uf,media,"35430-034, Ponte Nova, MG, Brasil","PRV-034, Nova Ponte, Minas Gerais, Região Sudeste, Brasil",way,354638890.0,0.05339347905699241,False
ifmg_campus_bambui,1968,IFMG,Instituto Federal de Minas Gerais,Campus Bambuí,Campus,Sudeste,MG,Bambuí,"Fazenda Varginha, Estrada Bambuí/Medeiros, Km 05 Bambuí, MG, 38900-000",38900-000,(37) 3431-4906,gabinete.bambui@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Fazenda Varginha, Estrada Bambuí/Medeiros, Km 05 Bambuí, MG, 38900-000, Brasil",-20.0252774,-45.9937208,ok,cep_municipio_uf,media,"38900-000, Bambuí, MG, Brasil","38900-000, Bambuí, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifmg_campus_betim,2013,IFMG,Instituto Federal de Minas Gerais,Campus Betim,Campus,Sudeste,MG,Betim,"Rua Itaguassu, 595, Bairro São Caetano Betim, MG, 32677-562",32677-562,(31) 3532-5930,gabinete.betim@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Itaguassu, 595, Bairro São Caetano Betim, MG, 32677-562, Brasil",-19.9374658,-44.1175221,ok,cep_municipio_uf,media,"32677-562, Betim, MG, Brasil","32677-562, São Caetano, Regional Imbiruçu, Vila Universal, Betim, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifmg_campus_congonhas,2006,IFMG,Instituto Federal de Minas Gerais,Campus Congonhas,Campus,Sudeste,MG,Congonhas,"Avenida Michael Pereira De Souza, 3007 - Centro, Congonhas, MG, 36415-000",36415-000,(31) 3731-8100,gabinete.congonhas@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Michael Pereira De Souza, 3007 - Centro, Congonhas, MG, 36415-000, Brasil",-20.5066827,-43.8607815,ok,cep_municipio_uf,media,"36415-000, Congonhas, MG, Brasil","36415-000, Congonhas, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifmg_campus_formiga,2008,IFMG,Instituto Federal de Minas Gerais,Campus Formiga,Campus,Sudeste,MG,Formiga,"Rua São Luiz Gonzaga, s/n. - São Luiz, Formiga, MG, 35577-020",35577-020,(37) 3322-8434,gabinete.formiga@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua São Luiz Gonzaga, s/n. - São Luiz, Formiga, MG, 35577-020, Brasil",-20.452767,-45.4385239,ok,cep_municipio_uf,media,"35577-020, Formiga, MG, Brasil","35577-020, Formiga, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifmg_campus_governador_valadares,2010,IFMG,Instituto Federal de Minas Gerais,Campus Governador Valadares,Campus,Sudeste,MG,Governador Valadares,"Avenida Minas Gerais, 5189 - Ouro Verde, Governador Valadares, MG, 35063-121",35063-121,(33) 3022-7800,assuntosinstitucionais.valadares@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Minas Gerais, 5189 - Ouro Verde, Governador Valadares, MG, 35063-121, Brasil",-18.8302206,-41.9699563,ok,endereco_padronizado,alta,"Avenida Minas Gerais, 5189 - Ouro Verde, Governador Valadares, MG, 35063-121, Brasil","Avenida Minas Gerais, Ouro Verde, Governador Valadares, Minas Gerais, Região Sudeste, 35063-121, Brasil",way,1481151212.0,0.053396422522316286,False
ifmg_campus_ouro_branco,2013,IFMG,Instituto Federal de Minas Gerais,Campus Ouro Branco,Campus,Sudeste,MG,Ouro Branco,"Rua Afonso Sardinha, 90, Bairro Minas Talco, Ouro Branco, MG, 36494-018",36494-018,(31) 3938-1200,gabinete.ourobranco@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Afonso Sardinha, 90, Bairro Minas Talco, Ouro Branco, MG, 36494-018, Brasil",-20.5305785,-43.686902,ok,cep_municipio_uf,media,"36494-018, Ouro Branco, MG, Brasil","Rua Pau Brasil, Vale do Engenho, Ouro Branco, Minas Gerais, Região Sudeste, 36420-000, Brasil",way,360143601.0,0.053383334859235486,False
ifmg_campus_ouro_preto,1942,IFMG,Instituto Federal de Minas Gerais,Campus Ouro Preto,Campus,Sudeste,MG,Ouro Preto,"Rua Pandiá Calógeras, 898, Morro do Cruzeiro Ouro Preto, MG, 35400-000",35400-000,(31) 3559-2186,gabinete.op@ifmg.edu.br,www.ifmg.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Pandiá Calógeras, 898, Morro do Cruzeiro Ouro Preto, MG, 35400-000, Brasil",-20.3950697,-43.5017145,ok,endereco_padronizado,alta,"Rua Pandiá Calógeras, 898, Morro do Cruzeiro Ouro Preto, MG, 35400-000, Brasil","Instituto Federal Minas Gerais Campus Ouro Preto, 898, Rua Pandiá Calógeras, Barra, Ouro Preto, Minas Gerais, Região Sudeste, 35400-249, Brasil",way,194569435.0,5.401922636754433e-05,False
